Newport,Newport,BayArea,BayArea,Newport,BayArea
Fst_hist,Fst_Mod,Fst_hist,Fst_Mod,deltaFst,deltaFst
-0.038461538,-0.03421645,-0.021805024,0.073632603,0.004245088,0.095437627
-0.038461538,-0.03421645,-0.021805024,0.073632603,0.004245088,0.095437627
-0.038461538,0.047619048,-0.021805024,0.003819831,0.086080586,0.025624855
-0.038461538,0.047619048,-0.021805024,0.003819831,0.086080586,0.025624855
-0.038461538,0.074285714,-0.021805024,0.12536162,0.112747252,0.147166644
-0.038461538,0.033462033,-0.021805024,-0.020234192,0.071923571,0.001570832
-0.038461538,0.033462033,-0.021805024,-0.020234192,0.071923571,0.001570832
-0.038461538,0,-0.021805024,-0.018483312,0.038461538,0.003321712
-0.038461538,0,-0.021759456,-0.027139711,0.038461538,-0.005380255
-0.038461538,0,-0.021759456,-0.027139711,0.038461538,-0.005380255
-0.038461538,-0.029411765,-0.021738655,-0.015006613,0.009049773,0.006732042
-0.038461538,-0.029411765,-0.021738655,-0.015006613,0.009049773,0.006732042
-0.038461538,0.015197568,-0.021702497,-0.013108063,0.053659106,0.008594434
-0.038461538,0.015197568,-0.021694602,-0.024699454,0.053659106,-0.003004852
-0.038461538,0,-0.021694602,0.07633511,0.038461538,0.098029712
-0.038461538,0,-0.021694602,0.07633511,0.038461538,0.098029712
-0.038461538,0,-0.021694602,-0.022155656,0.038461538,-0.000461054
-0.038461538,0.04,-0.02153647,-0.02545909,0.078461538,-0.00392262
-0.038461538,0.04,-0.02153647,-0.02545909,0.078461538,-0.00392262
-0.038461538,0.015197568,-0.02153647,-0.001757592,0.053659106,0.019778878
-0.038461538,0.015197568,-0.02153647,-0.001757592,0.053659106,0.019778878
-0.038461538,-0.033939394,-0.021516317,-0.017966724,0.004522144,0.003549593
-0.038461538,-0.033939394,-0.02149803,0.163720963,0.004522144,0.185218993
-0.038461538,-0.021768707,-0.02149803,0.163720963,0.016692831,0.185218993
-0.038461538,-0.021768707,-0.021493597,0.046388759,0.016692831,0.067882356
-0.038461538,0.19047619,-0.02149237,-0.028614009,0.228937728,-0.007121639
-0.038461538,-0.043478261,-0.02149237,-0.028614009,-0.005016723,-0.007121639
-0.038461538,0.077694236,-0.02149237,-0.013021077,0.116155774,0.008471293
-0.038461538,0,-0.02149237,-0.027232401,0.038461538,-0.005740031
-0.038461538,0,-0.02149237,-0.027843632,0.038461538,-0.006351262
-0.038461538,0.142857143,-0.02149237,-0.027843632,0.181318681,-0.006351262
-0.038461538,0.117913832,-0.02149237,-0.02442623,0.15637537,-0.00293386
-0.038461538,0.04,-0.02149237,-0.02442623,0.078461538,-0.00293386
-0.038461538,0.026666667,-0.02149237,-0.016902502,0.065128205,0.004589868
-0.038461538,0.025142857,-0.02149237,0.118032787,0.063604395,0.139525157
-0.038461538,0.025142857,-0.02149237,0.118032787,0.063604395,0.139525157
-0.038461538,0,-0.02149237,0.010928962,0.038461538,0.032421332
-0.038461538,0,-0.02149237,0.010928962,0.038461538,0.032421332
-0.038461538,0.014025974,-0.02149237,0.039344262,0.052487512,0.060836632
-0.038461538,0,-0.021473835,-0.005737705,0.038461538,0.01573613
-0.038461538,0,-0.021472028,0.009306597,0.038461538,0.030778625
-0.038461538,0,-0.021472028,-0.008755179,0.038461538,0.012716849
-0.038461538,0,-0.021411642,0.0425384,0.038461538,0.063950042
-0.038461538,0,-0.021406527,-0.024343023,0.038461538,-0.002936496
